"time{s}","T1\plot{N.m}","T2\plot{N.m}","Theta1\plot{rad}","Theta2\plot{rad}","RR\Omega1{rad/s}","RR\Omega2{rad/s}","X1\plot{m}","Y1\plot{m}","X2\plot{m}","Y2\plot{m}","Xe\plot{m}","Ye\plot{m}","RR\I1\state{N.m.s}","RR\I2\state{N.m.s}","MCC_IP1\Ia{A}","MCC_IP2\Ia{A}","MCC_IP1\Km\p2.T{N.m}","MCC_IP2\Km\p2.T{N.m}"
0.315729675167662,7.8895098099952,0.402587544153627,0.599793572439362,0.000559925473210008,0.948805583056746,0.00287274241002944,0.0811419468455953,0.0554876063829265,0.237517556734293,0.146775565523194,0.474617519566908,0.146908323845956,0.115090117224783,3.33238119563415e-005,64.1376360101831,3.27301602402874,7.88892922925252,0.402580970955536
0.324155107531967,7.91097737395699,0.405616219318578,0.607613329592663,0.000582367570472748,0.907736635957565,0.00246023435037312,0.0807055708150461,0.0561204137495223,0.236363357377259,0.148449832400494,0.473463317170792,0.148587911743648,0.110108453941653,2.85387184643282e-005,64.3123830244078,3.29764356369843,7.91042311200215,0.405610158334907
0.332580539896273,7.93077478612005,0.40847492244387,0.615094916465339,0.00060147671464039,0.86851750502094,0.0020812107334064,0.0802834462792023,0.0567226432171001,0.235246852750794,0.150043145499007,0.472346809862459,0.15018575561945,0.10535117335904,2.41420445075142e-005,64.4735416734562,3.32088895722272,7.93024562583512,0.408469341738395
0.341005972260578,7.94899944701828,0.411172254306243,0.622253556697953,0.000617525628672501,0.831062673580296,0.00173345097756339,0.0798753356523241,0.0572959052151945,0.234167414449594,0.15155977059287,0.471267369241988,0.151706185910123,0.10080790230529,2.01080313397353e-005,64.6219042293677,3.34282212100379,7.94849422021222,0.411167120883466
0.349431404624883,7.96575003804145,0.413716844808832,0.629103766827552,0.00063076875051166,0.795290028107594,0.00141483126625713,0.0794809756487797,0.0578417194585197,0.233124346092238,0.153003733100022,0.470224298924844,0.153153288360851,0.0964686804094512,1.64120426885827e-005,64.7582733609412,3.36351324183572,7.96526762339576,0.413712128745794
0.357856836989188,7.981125436608,0.416116813336146,0.635659385349949,0.000641443155718097,0.761120794433517,0.00112337137233216,0.0791000822309099,0.0583615197802738,0.232116896408301,0.15437883088725,0.469216847630985,0.154530917049042,0.0923239523647857,1.30311079190531e-005,64.8834532602109,3.38302836154913,7.98066475100594,0.416112488470543
0.366282269353494,7.9952226296612,0.418380253265269,0.641933602112193,0.00064976946051016,0.728479660203315,0.000857156215228731,0.0787323548939352,0.0588566588658874,0.231144270571942,0.155688646811468,0.468244220520092,0.155842707139714,0.0883645827826621,9.94301209665328e-006,64.9982328990225,3.40143324911097,7.99478264657977,0.41837628964065
0.374707701717799,8.00813417539246,0.420515420277566,0.647938987410982,0.000655952606992815,0.69729485565713,0.000614342054959453,0.0783774803813459,0.0593284128312205,0.230205640029112,0.156936560846861,0.467305589020152,0.157092087198826,0.0845818659912098,7.12636783752965e-006,65.1033652200102,3.41879504666161,8.00771392206125,0.420511790739378
0.383133134082104,8.01994941843442,0.422529429215822,0.653687522983123,0.000660182925555012,0.667497789779839,0.000393296746406352,0.0780351357538566,0.05977798581315,0.229300150614933,0.158125762251163,0.466400098945925,0.158282291611441,0.0809674819002944,4.56224225831368e-006,65.1995768057495,3.43517166941259,8.01954794710719,0.422526115337749
0.391558566446409,8.03075465151383,0.424429282204829,0.659190623290562,0.000662636939455862,0.639023072552443,0.000192423463150852,0.0777049915526938,0.0602065136658467,0.228426930920568,0.159259259360593,0.465526878866721,0.15941637056744,0.0775134987006113,2.23211217254988e-006,65.2875697095858,3.45061997849543,8.03037107427905,0.424426257354938
